OLD OI,Lot,Top-3,O-Cost,Cost,O-Avg,Symbol,D.QTY,QTY,% Top-3,% O-Cost,% Cost,% Avg,Current,Diff
12949,1000,503.67126411003954,499.7698545965645,501.57405253239654,527.6203986353025,AARTIIND,0.0,0.0,-0.0007371159255939231,0.003610057547965619,0.0034410621101497213,-0.04609450032297381,503.3,503.3,False
5176,250,4547.693717051249,4429.340053920993,4427.058376354456,4358.155752212389,ABB,0.0,0.0,-0.056939568309175806,-0.0005151281090999356,-0.031241597601960925,-0.01592548687071499,4288.75,4288.75,False
2033,40,23140.26792750197,23147.68667824361,23142.651411657556,23086.426592797783,ABBOTINDIA,0.0,0.0,-0.011990696407287577,-0.00021752785304392843,-0.012092452445469951,-0.009686496604353143,22862.8,22862.8,False
6702,5400,185.30002516413882,185.32975070513834,185.1578356900354,182.29854636104636,ABCAPITAL,0.0,0.0,-0.048570015876503954,-0.0009276169338643221,-0.04783937799350766,-0.032905069627741826,176.3,176.3,False
10590,2600,228.03303449444317,224.20201440350698,224.29254468736096,226.53055958716334,ABFRL,0.0,0.0,-0.050576156739799975,0.00040378889589746513,-0.03474277175919024,-0.044279057119018986,216.5,216.5,False
19088,300,1995.1180119948026,2020.9353718901277,2022.2299485459716,2058.032786885246,ACC,0.0,0.0,0.002196355292695746,0.0006405829072273243,-0.011240041500876286,-0.02844113429982479,1999.5,1999.5,False
32120,300,2515.3913236777757,2525.656814299098,2525.6961309135227,2526.9340016708443,ADANIENT,0.0,0.0,-0.01275798456315519,1.5566887077407474e-05,-0.01678591909557551,-0.01726756679912997,2483.3,2483.3,False
59957,800,833.8246484047019,830.1395655337586,831.3447281431668,852.5283754023378,ADANIPORTS,0.0,0.0,-0.0002694192419612954,0.0014517590287763957,0.0027127998536424997,-0.022202633892865833,833.6,833.6,False
3950,200,3722.803387334315,3709.7394465147536,3710.7303754266213,3716.7918535127055,ALKEM,0.0,0.0,-0.019099420500212985,0.0002671155012783186,-0.015908020646699453,-0.017512913307531065,3651.7,3651.7,False
37094,1800,439.1651190838309,443.4045783551912,443.4546684722521,445.1419063383682,AMBUJACEM,0.0,0.0,-0.027359001345317248,0.00011296707229932827,-0.03676738487932352,-0.040418361161197715,427.15,427.15,False
18446,125,4918.579198789197,4964.4021814634725,4972.962705149193,5088.114512922466,APOLLOHOSP,0.0,0.0,0.021016394579200723,0.0017243815816705898,0.009850726368826997,-0.01300373895957448,5021.95,5021.95,False
5577,1700,387.5203038174465,389.1186787655263,388.8652253300419,385.0765045902754,APOLLOTYRE,0.0,0.0,-0.05075941472917714,-0.000651352528972601,-0.05404243928524488,-0.04473527827568846,367.85,367.85,False
16898,5000,184.6850142100008,185.07531817430524,184.9470344479264,180.44770186335404,ASHOKLEY,0.0,0.0,-0.029428561019145635,-0.0006931433518218833,-0.030803599878918054,-0.006637390506979211,179.25,179.25,False
25747,200,3274.4752290464885,3263.3290942578283,3261.464950619643,3245.2752992383025,ASIANPAINT,0.0,0.0,-0.006695799330530539,-0.0005712398548664778,-0.002733419109087452,0.002241628241340604,3252.55,3252.55,False
10402,367,1956.6429335295047,1944.2635556707753,1943.027574935122,1916.0720425615298,ASTRAL,0.0,0.0,-0.035490856476423895,-0.0006357063742970486,-0.028732260753935,-0.015068349164435226,1887.2,1887.2,False
4293,75,7106.066091349188,7195.176230702009,7200.7920633008,7356.6281755196305,ATUL,0.0,0.0,-0.0029504498100167936,0.000780499659595257,-0.016066574660644605,-0.03690932435911116,7085.1,7085.1,False
12160,1000,721.3100635492744,722.284094290343,723.0923929202986,737.4443792192545,AUBANK,0.0,0.0,0.030555426250780397,0.001119086847329509,0.028015240207255602,0.00800822536202375,743.35,743.35,False
12514,1100,871.5927160694603,856.8542290890393,858.6464735883793,895.002141196623,AUROPHARMA,0.0,0.0,0.007179137474619616,0.0020916562450130974,0.02236488124311166,-0.019164357722865885,877.85,877.85,False
62789,625,996.4122294477336,990.7974989106448,992.8179118015323,1018.7248841646224,AXISBANK,0.0,0.0,0.0208124408145416,0.0020391784326352575,0.02450810758874758,-0.0015459366793752608,1017.15,1017.15,False
8918,250,4693.174817313097,4716.723243608237,4723.116741240048,4836.511703864997,BAJAJ-AUTO,0.0,0.0,0.08703600410963588,0.0013554956060810753,0.08014480257385466,0.05482014980406706,5101.65,5101.65,False
20549,500,1525.189019207887,1522.1096506929882,1523.4620972293797,1555.6524650030433,BAJAJFINSV,0.0,0.0,0.0007612045310396237,0.0008885342365286772,0.0018956183917357029,-0.01883612546005644,1526.35,1526.35,False
33007,125,7307.980069879469,7311.10158013544,7319.690996655863,7481.196624904117,BAJFINANCE,0.0,0.0,0.023292336390202888,0.0011748457364840037,0.021655149570733837,-0.0004005542233901123,7478.2,7478.2,False
